Tourist_Spot,Address,Zipcode,location,latitude,longitude
New York City AIDS Memorial,200-218 st 12th Street New York,10011,"218, East 12th Street, 10003, East 12th Street, New York, New York, United States",40.7313811,-73.98726081421262
Peter Jay Sharp Theater at Julliard,155  65th Street Manhattan,10023,"155, West 65th Street, 10023, West 65th Street, New York, New York, United States",40.7736162,-73.9832996
Chester A. Arthur House,123 Lexington Avenue Manhattan,10016,"123, Lexington Avenue, 10016, Lexington Avenue, New York, New York, United States",40.7427587,-73.98210246847725
Chateau Stables,608  48th Street New York,10036,"608, 48th Street, 11220, 48th Street, New York, New York, United States",40.644547349999996,-74.0067140330473
LIC Beer Project,39-28 23rd Street ,11101,"LIC Beer Project, 39-28, 23rd Street, 11101, 23rd Street, New York, New York, United States",40.7548039,-73.9392521
Christie’s Auction House,20 Rockefeller Plaza New York,10020,"20, Rockefeller Plaza, 10020, Rockefeller Plaza, New York, New York, United States",40.7583119,-73.9791393
Lasker Rink,830 5th Avenue New York,10065,"The Arsenal, 830, 5th Avenue, 10035, 5th Avenue, New York, NY, United States",40.767633149999995,-73.9713058076675
Marble Collegiate Church,1  29th Street Manhattan,10001,"Gilsey House, West 29th Street, 10001, West 29th Street, New York, New York, United States",40.74607315,-73.98813294308914
Riverdale Park,st 254 Street Bronx,10463,"West 254th Street, 10471, New York, New York, United States",40.9038917,-73.9142817
Brooklyn Army Terminal,140 58th Street Brooklyn,11220,"140, 58th Street, 11220, 58th Street, New York, New York, United States",40.644524200000006,-74.02253235107794
City Ice Pavilion,47-32 32nd Place Queens,11101,"47-56, 32nd Place, 11101, 32nd Place, New York, New York, United States",40.7414539,-73.9334048
Floyd Bennett Field,50 Aviation Road Brooklyn,11234,"Aviation Road, 11697, New York, New York, United States",40.5817976,-73.8914296
69th Regiment Armory,68 Lexington Ave Manhattan,10010,"69th Regiment Armory, 68, Lexington Avenue, 10010, Lexington Avenue, New York, New York, United States",40.74133785,-73.98423151235329
Federal Hall National Memorial,26 ll St Manhattan,10005,"Matchless Gifts Hare Krishna Temple, 26, 2nd Avenue, 10003, 2nd Avenue, New York, New York, United States",40.7244764,-73.9904429
Scandinavia House: The Nordic Center in America,58 Park Avenue Manhattan,10016,"Scandinavia House, 58, Park Avenue, 10016, Park Avenue, New York, New York, United States",40.7494722,-73.9800545387227
NYRR RunCenter Featuring the New Balance Run Hub,320  57th Street Manhattan,10019,"320, East 57th Street, 10022, East 57th Street, New York, New York, United States",40.75878325,-73.96473276119875
Bowling Green Park,Broadway and itehall St Manhattan,10004,"Broadway and Exchange Alley, Broadway, 10003, Broadway, New York, New York, United States",40.7070773,-74.0121754
New York Public Library for the Performing Arts,40 Lincoln Center Plaza Manhattan,10023,"New York Public Library for the Performing Arts, 40, Lincoln Center Plaza, 10023, Lincoln Center Plaza, New York, NY, United States",40.7732287,-73.9847509
The Players Theatre,115 Macdougal Street Manhattan,10012,"Manhattan Detention Complex, 115, White Street, 10013, White Street, New York, NY, United States",40.71651685,-74.00046448149394
Lefferts Historic House,452 Flatbush Avenue Brooklyn,11225,"Lefferts Historic House, 452, Flatbush Avenue, 11215, Flatbush Avenue, Brooklyn, New York, United States",40.664346550000005,-73.96378014953419
Ford Amphitheater at Coney Island Boardwalk,3052  21st Street Brooklyn,11224,"21st Street, 11215; 11232, New York, New York, United States",40.6644365,-73.998433
MetLife Building,200 Park Avenue Manhattan,10166,"MetLife Building, 200, Park Avenue, 10037, Park Avenue, New York, New York, United States",40.75361345,-73.97658004429898
Valentine-Varian House,3266 Bainbridge Avenue Bronx,10458,"Museum of Bronx History, 3266, Bainbridge Avenue, 10467, Bainbridge Avenue, New York, New York, United States",40.87737965,-73.87943145
Bronx Council on the Arts,1738 Hone Avenue Bronx,10461,"1738, Hone Avenue, 10461, Hone Avenue, New York, New York, United States",40.8485669,-73.8543176
NFL Experience Times Square,"20 Times Square, 701 Seventh Avenue Manhattan",10036,"20 Times Square, 701, 7th Avenue, 10036, 7th Avenue, New York, New York, United States",40.75923265,-73.98407726816203
Randall's Island Park,East and Harlem Rivers Manhattan,10035,"Harlem River Drive Northbound Entrance East 139 Street, 10037:10454, New York, New York, United States",40.8148583,-73.9345453
Ed Sullivan Theater,1697 Broadway Manhattan,10019,"1697, Broadway, 10019, Broadway, New York, New York, United States",40.7637878,-73.9828183
Essex Street Market,120 Essex Street Manhattan,10002,"120, Essex Street, 10002, Essex Street, New York, New York, United States",40.7191907,-73.9876377
Riverbank State Park Ice Rink,679 Riverside Dr. Manhattan,10031,"Sofrito, 679, Riverside Drive, 10031, Riverside Drive, New York City, NY, United States",40.827357649999996,-73.95535644746796
American Stock Exchange Building,86 Trinity Place New York,10006,"American Stock Exchange Building, 86, Trinity Place, 10006, Trinity Place, New York, New York, United States",40.7087107,-74.0126127206991
Pier 40,353 st St Manhattan,10014,"353, Broadway, 10013, Broadway, New York, New York, United States",40.71717,-74.0039881
"The Great Hall, Cooper Union",7 East 7th Street Manhattan,10003,"East 7th Street, 10009, New York, New York, United States",40.7290053,-73.9904905
Czech Center New York,321 E 73rd St Manhattan,10021,"Bohemian National Hall, 321, East 73rd Street, 10021, East 73rd Street, New York, NY, United States",40.76908985,-73.95644388707501
The Malcolm X and Dr. Betty Shabazz Memorial & Educational Center,3940 Broadway Manhattan,10032,"Audubon, 3940, Broadway, 10032, Broadway, New York, NY, United States",40.8392565,-73.94061826535263
