,number_of_places_2500m,number_of_places_1000m,number_of_places_500m
44609,0,0,0
44610,10,3,0
44611,23,5,2
44612,42,5,1
44613,0,0,0
44614,0,0,0
44615,17,4,1
44616,0,0,0
44617,49,4,1
44618,7,1,0
44619,0,0,0
44620,52,8,0
44621,76,27,7
44622,4,1,0
44623,10,2,0
44624,76,27,10
44625,9,1,0
44626,0,0,0
44627,0,0,0
44628,76,26,10
44629,11,1,1
44630,0,0,0
44631,9,0,0
44632,12,1,0
44633,54,29,12
44634,2,0,0
44635,1,0,0
44636,10,9,8
44637,62,36,8
44638,70,23,3
44639,7,1,0
44640,3,0,0
44641,72,18,5
44642,36,4,1
44643,10,1,0
44644,2,0,0
44645,3,1,0
44646,14,2,1
44647,60,7,1
44648,52,10,6
44649,20,3,3
44650,60,5,0
44651,1,0,0
44652,45,4,1
44653,45,3,1
44654,70,27,15
44655,70,27,15
44656,21,4,0
44657,13,2,1
44658,11,4,0
44659,44,11,4
44660,51,4,2
44661,6,2,2
44662,1,0,0
44663,45,3,1
44664,67,12,2
44665,0,0,0
44666,1,0,0
44667,31,3,1
44668,11,4,0
44669,11,4,0
44670,8,2,0
44671,11,4,0
44672,29,4,1
44673,60,5,1
44674,11,4,1
44675,14,4,0
44676,48,4,1
44677,16,2,1
44678,0,0,0
44679,71,12,2
44680,4,2,0
44681,65,25,3
44682,11,3,1
44683,68,10,0
44684,0,0,0
44685,13,2,1
44686,0,0,0
44687,66,25,5
44688,3,0,0
44689,0,0,0
44690,0,0,0
44691,19,3,0
44692,4,0,0
44693,0,0,0
44694,68,15,5
44695,78,27,8
44696,68,11,1
44697,1,0,0
44698,76,10,0
44699,1,0,0
44700,0,0,0
44701,11,4,0
44702,11,5,2
44703,70,16,1
44704,8,1,0
44705,0,0,0
44706,2,0,0
44707,1,0,0
44708,1,0,0
44709,1,0,0
44710,67,7,1
44711,1,0,0
44712,75,18,6
44713,77,18,5
44714,1,1,0
44715,4,1,0
44716,3,0,0
44717,10,10,2
44718,0,0,0
44719,19,4,2
44720,4,0,0
44721,44,9,2
44722,19,0,0
44723,62,28,4
44724,21,1,1
44725,34,7,2
44726,2,0,0
44727,9,1,1
44728,0,0,0
44729,1,0,0
44730,2,0,0
44731,0,0,0
44732,2,0,0
44733,7,1,1
44734,8,1,1
44735,2,0,0
44736,2,0,0
44737,8,1,1
44738,10,0,0
44739,7,1,1
44740,65,12,3
44741,72,14,3
44742,35,5,1
44743,7,1,1
44744,2,0,0
44745,8,1,1
44746,8,1,0
44747,8,1,1
44748,8,1,1
44749,0,0,0
44750,5,2,1
44751,0,0,0
44752,7,1,1
44753,71,21,4
44754,9,4,0
44755,19,4,3
44756,47,9,1
44757,5,2,1
44758,1,0,0
44759,4,0,0
44760,2,0,0
44761,8,3,1
44762,73,22,7
44763,35,4,1
44764,36,7,1
44765,0,0,0
44766,63,9,2
44767,6,1,0
44768,5,0,0
44769,6,2,0
44770,65,24,2
44771,68,10,1
44772,9,2,1
44773,1,1,0
44774,0,0,0
44775,56,9,4
44776,50,2,0
44777,1,1,0
44778,9,1,0
44779,0,0,0
44780,57,10,4
44781,0,0,0
44782,13,1,0
44783,5,1,0
44784,2,0,0
44785,1,0,0
44786,1,1,1
44787,0,0,0
44788,9,1,0
44789,2,0,0
44790,1,1,1
44791,54,4,0
44792,72,19,3
44793,22,0,0
44794,0,0,0
44795,0,0,0
44796,9,1,0
44797,73,17,5
44798,62,4,0
44799,47,5,1
44800,29,7,4
44801,11,2,1
44802,1,0,0
44803,0,0,0
44804,9,0,0
44805,1,0,0
44806,1,0,0
44807,43,5,1
44808,76,20,4
44809,75,23,11
44810,80,27,10
44811,79,26,9
44812,74,23,10
44813,80,25,10
44814,77,27,11
44815,76,26,11
44816,1,0,0
44817,4,0,0
44818,8,1,0
44819,78,17,4
44820,1,0,0
44821,10,2,0
44822,1,1,1
44823,1,0,0
44824,9,2,0
44825,67,11,1
44826,1,0,0
44827,5,3,0
44828,5,2,0
44829,46,9,3
44830,49,9,5
44831,43,11,4
44832,48,11,5
44833,56,8,1
44834,2,0,0
44835,65,25,5
44836,52,9,3
44837,1,1,0
44838,65,10,0
44839,72,15,2
44840,10,0,0
44841,19,4,2
44842,1,0,0
44843,0,0,0
44844,7,1,0
44845,0,0,0
44846,1,0,0
44847,27,2,0
44848,54,6,3
44849,20,0,0
44850,9,4,1
44851,70,22,7
44852,11,2,1
44853,1,1,0
44854,7,0,0
44855,64,13,4
44856,1,0,0
44857,1,0,0
44858,25,2,0
44859,60,10,3
44860,1,0,0
44861,70,20,8
44862,74,22,6
44863,73,22,6
44864,74,22,6
44865,70,20,8
44866,69,19,7
44867,74,22,6
44868,74,22,6
44869,71,21,6
44870,72,21,6
44871,70,19,8
44872,74,21,6
44873,70,21,7
44874,72,19,7
44875,73,9,1
44876,73,7,0
44877,73,11,1
44878,73,10,1
44879,73,8,0
44880,73,7,0
44881,72,8,0
44882,72,25,2
44883,71,20,3
44884,73,21,4
44885,74,19,5
44886,72,22,3
44887,73,21,4
44888,74,28,10
44889,76,29,7
44890,79,27,9
44891,74,28,10
44892,74,27,11
44893,75,29,10
44894,76,27,8
44895,75,28,9
44896,75,29,10
44897,71,21,3
44898,71,23,3
44899,71,24,2
44900,71,23,2
44901,74,22,3
44902,74,22,5
44903,28,3,1
44904,75,23,5
44905,74,20,5
44906,75,23,5
44907,75,23,5
44908,74,22,7
44909,76,23,5
44910,76,23,5
44911,74,22,5
44912,79,19,5
44913,79,19,5
44914,79,20,8
44915,79,23,9
44916,79,24,8
44917,79,27,10
44918,79,25,11
44919,79,24,8
44920,79,23,11
44921,79,23,11
44922,79,26,9
44923,79,20,10
44924,79,19,5
44925,75,22,5
44926,74,22,7
44927,75,22,5
44928,75,20,6
44929,75,23,5
44930,75,23,5
44931,77,26,11
44932,73,23,6
44933,76,22,6
44934,75,22,6
44935,77,24,8
44936,77,25,11
44937,74,23,8
44938,9,2,1
44939,0,0,0
44940,74,24,4
44941,2,0,0
44942,43,6,0
44943,7,1,0
44944,2,0,0
44945,69,12,0
44946,69,12,0
44947,77,19,5
44948,8,3,1
44949,0,0,0
44950,67,12,1
44951,40,1,0
44952,1,0,0
44953,12,2,2
44954,8,1,0
44955,72,10,2
44956,0,0,0
44957,1,0,0
44958,0,0,0
44959,6,1,0
44960,75,18,2
44961,62,24,2
44962,39,3,1
44963,1,0,0
44964,1,0,0
44965,29,3,0
44966,1,0,0
44967,70,7,2
44968,5,0,0
44969,6,2,0
44970,3,0,0
44971,1,0,0
44972,26,7,3
44973,67,28,6
44974,0,0,0
44975,11,0,0
44976,1,0,0
44977,53,7,1
44978,53,5,1
44979,71,24,6
44980,4,1,0
44981,0,0,0
44982,0,0,0
44983,1,0,0
44984,0,0,0
44985,73,20,6
44986,7,1,1
44987,51,22,6
44988,7,1,1
44989,51,19,4
44990,51,21,5
44991,51,16,4
44992,51,14,4
44993,51,21,4
44994,51,19,4
44995,8,2,0
44996,1,0,0
44997,73,21,5
44998,3,0,0
44999,73,22,5
45000,73,22,6
45001,73,21,5
45002,71,22,8
45003,72,22,8
45004,73,21,5
45005,73,22,4
45006,73,21,5
45007,72,21,6
45008,18,6,1
45009,10,2,1
45010,61,11,2
45011,1,0,0
45012,11,1,0
45013,1,0,0
45014,65,10,0
45015,1,0,0
45016,0,0,0
45017,1,0,0
45018,1,0,0
45019,1,0,0
45020,10,1,1
45021,44,3,2
45022,9,2,0
45023,21,2,1
45024,0,0,0
45025,0,0,0
45026,74,22,6
45027,2,0,0
45028,1,0,0
45029,56,11,0
45030,54,11,0
45031,56,12,2
45032,54,12,0
45033,54,11,0
45034,65,25,3
45035,66,28,6
45036,65,25,5
45037,8,2,0
45038,10,2,0
45039,7,1,0
45040,1,0,0
45041,11,2,1
45042,48,5,1
45043,11,1,0
45044,10,2,2
45045,12,2,0
45046,11,2,1
45047,1,0,0
45048,1,0,0
45049,2,0,0
45050,0,0,0
45051,1,0,0
45052,79,13,3
45053,0,0,0
45054,59,2,0
45055,64,8,1
45056,8,1,0
45057,12,3,3
45058,13,2,0
45059,60,16,0
45060,28,4,1
45061,3,0,0
45062,30,5,4
45063,11,4,0
45064,60,34,6
45065,0,0,0
45066,1,1,0
45067,70,14,2
45068,1,0,0
45069,4,0,0
45070,0,0,0
45071,19,2,1
45072,0,0,0
45073,68,25,5
45074,67,26,5
45075,74,22,9
45076,71,12,2
45077,0,0,0
45078,66,27,5
45079,54,8,1
45080,67,26,5
45081,67,28,7
45082,67,28,3
45083,68,12,2
45084,68,26,5
45085,56,12,1
45086,61,3,1
45087,5,3,0
45088,56,11,4
45089,14,2,1
45090,23,5,3
45091,0,0,0
45092,3,0,0
45093,5,2,1
45094,10,3,0
45095,8,1,0
45096,0,0,0
45097,20,4,1
45098,12,2,0
45099,68,12,1
45100,4,1,0
45101,4,0,0
45102,67,12,5
45103,6,0,0
45104,39,5,4
45105,38,5,4
45106,54,8,0
45107,64,12,7
45108,0,0,0
45109,0,0,0
45110,4,0,0
45111,42,2,1
45112,63,11,4
45113,71,15,6
45114,56,10,4
45115,4,0,0
45116,2,1,0
45117,20,1,0
45118,1,0,0
45119,5,0,0
45120,76,26,11
45121,1,0,0
45122,64,10,1
45123,9,1,0
45124,0,0,0
45125,3,0,0
45126,1,0,0
45127,16,2,0
45128,5,1,0
45129,10,0,0
45130,65,10,1
45131,3,0,0
45132,2,0,0
45133,0,0,0
45134,1,0,0
45135,8,3,0
45136,8,1,1
45137,10,1,1
45138,69,12,0
45139,68,10,0
45140,6,2,2
45141,61,7,5
45142,0,0,0
45143,1,0,0
45144,0,0,0
45145,1,0,0
45146,7,0,0
45147,0,0,0
45148,7,1,1
45149,4,0,0
45150,62,14,6
45151,4,0,0
45152,4,0,0
45153,0,0,0
45154,1,1,1
45155,1,0,0
45156,73,11,1
45157,54,10,4
45158,10,3,1
45159,1,0,0
45160,1,0,0
45161,17,3,0
45162,0,0,0
45163,0,0,0
45164,67,10,0
45165,30,3,1
45166,5,0,0
45167,9,1,0
45168,12,1,1
45169,18,3,0
45170,1,0,0
45171,57,9,1
45172,77,17,5
45173,12,3,0
45174,56,8,4
45175,22,1,0
45176,5,0,0
45177,67,12,3
45178,0,0,0
45179,63,12,4
45180,41,3,1
45181,0,0,0
45182,0,0,0
45183,0,0,0
45184,68,10,2
45185,2,0,0
45186,1,0,0
45187,0,0,0
45188,76,26,10
45189,0,0,0
45190,0,0,0
45191,76,28,8
45192,1,1,0
45193,0,0,0
45194,67,9,1
45195,68,8,2
45196,13,2,0
45197,74,25,6
45198,1,0,0
45199,73,16,4
45200,9,1,1
45201,38,3,0
45202,13,1,0
45203,0,0,0
45204,13,1,0
45205,0,0,0
45206,10,1,0
45207,12,1,1
45208,55,5,0
45209,11,0,0
45210,37,2,0
45211,0,0,0
45212,0,0,0
45213,2,0,0
45214,1,0,0
45215,10,5,2
45216,35,11,0
45217,30,4,0
45218,1,0,0
45219,54,6,2
45220,0,0,0
45221,0,0,0
45222,13,3,1
45223,31,5,0
45224,45,6,2
45225,8,1,1
45226,0,0,0
45227,6,1,0
45228,0,0,0
45229,0,0,0
45230,8,1,0
45231,64,29,7
45232,77,26,9
45233,0,0,0
45234,5,2,1
45235,6,1,0
45236,75,8,0
45237,57,5,1
45238,68,12,2
45239,1,0,0
45240,0,0,0
45241,52,10,3
45242,7,1,0
45243,42,5,0
45244,70,12,3
45245,0,0,0
45246,5,0,0
45247,57,4,2
45248,10,6,2
45249,63,10,2
45250,11,4,0
45251,0,0,0
45252,74,26,3
45253,2,0,0
45254,71,9,1
45255,9,1,1
45256,38,3,0
45257,3,0,0
45258,67,27,5
45259,7,0,0
45260,0,0,0
45261,13,4,0
45262,7,2,0
45263,0,0,0
45264,5,1,0
45265,1,0,0
45266,0,0,0
45267,5,0,0
45268,73,23,8
45269,0,0,0
45270,1,0,0
45271,5,1,1
45272,0,0,0
45273,9,3,0
45274,9,2,0
45275,4,2,1
45276,13,1,0
45277,5,0,0
45278,5,0,0
45279,1,0,0
45280,1,0,0
45281,72,9,2
45282,14,3,0
45283,10,4,0
45284,5,0,0
45285,50,6,0
45286,9,0,0
45287,12,3,2
45288,9,2,1
45289,7,1,0
45290,63,9,0
45291,1,0,0
45292,5,2,0
45293,40,3,0
45294,75,22,5
45295,66,27,6
45296,38,2,0
45297,76,12,4
45298,11,0,0
45299,68,28,3
45300,9,0,0
45301,74,25,3
45302,67,29,11
45303,4,0,0
45304,1,0,0
45305,9,1,0
45306,22,2,1
45307,68,11,2
45308,5,2,1
45309,9,1,0
45310,2,0,0
45311,0,0,0
45312,1,0,0
45313,3,0,0
45314,1,0,0
45315,8,1,0
45316,22,4,0
45317,9,1,0
45318,68,16,4
45319,0,0,0
45320,4,1,0
45321,14,4,0
45322,12,4,1
45323,50,8,1
45324,0,0,0
45325,3,0,0
45326,3,0,0
45327,2,0,0
45328,6,2,0
45329,5,2,1
45330,62,10,2
45331,3,0,0
45332,9,2,2
45333,14,3,0
45334,74,25,6
45335,74,25,3
45336,55,6,0
45337,43,9,4
45338,5,1,1
45339,4,1,0
45340,2,0,0
45341,2,0,0
45342,1,1,1
45343,5,0,0
45344,11,0,0
45345,2,0,0
45346,10,3,0
45347,8,1,0
45348,1,0,0
45349,10,0,0
45350,10,5,3
45351,73,11,3
45352,3,1,0
45353,7,1,0
45354,0,0,0
45355,2,1,0
45356,53,8,2
45357,2,0,0
45358,38,6,0
45359,32,2,0
45360,72,23,5
45361,1,0,0
45362,2,0,0
45363,2,0,0
45364,65,10,2
45365,0,0,0
45366,1,0,0
45367,1,0,0
45368,12,3,0
45369,68,14,2
45370,0,0,0
45371,8,0,0
45372,65,8,2
45373,4,0,0
45374,68,10,2
45375,12,1,0
45376,4,0,0
45377,4,2,1
45378,17,2,2
45379,9,0,0
45380,1,0,0
45381,1,0,0
45382,7,1,0
45383,1,0,0
45384,42,5,0
45385,1,0,0
45386,9,1,0
45387,6,1,0
45388,34,4,1
45389,23,5,1
45390,0,0,0
45391,1,0,0
45392,0,0,0
45393,4,0,0
45394,9,1,0
45395,57,10,5
45396,16,3,1
45397,12,4,1
45398,70,12,4
45399,3,0,0
45400,23,3,0
45401,49,11,1
45402,1,0,0
45403,16,3,1
45404,69,10,2
45405,3,0,0
45406,2,0,0
45407,7,2,0
45408,10,2,2
45409,11,4,2
45410,72,22,6
45411,18,0,0
45412,55,8,2
45413,62,12,3
45414,23,0,0
45415,66,12,3
45416,35,0,0
45417,5,1,0
45418,9,1,0
45419,1,0,0
45420,0,0,0
45421,23,4,1
45422,67,10,2
45423,1,0,0
45424,0,0,0
45425,1,0,0
45426,20,1,0
45427,31,0,0
45428,16,3,1
45429,63,8,1
45430,0,0,0
45431,60,4,1
45432,60,10,3
45433,71,18,6
45434,6,1,0
45435,6,0,0
45436,3,0,0
45437,0,0,0
45438,4,0,0
45439,1,0,0
45440,8,3,0
45441,40,6,0
45442,30,3,1
45443,18,3,1
45444,68,14,2
45445,34,0,0
45446,66,10,2
45447,7,2,0
45448,68,14,2
45449,5,2,1
45450,67,12,1
45451,68,12,2
45452,14,3,2
45453,67,10,2
45454,38,4,0
45455,5,0,0
45456,11,1,1
45457,62,9,2
45458,13,2,1
45459,13,3,0
45460,70,11,3
45461,34,3,1
45462,73,11,0
45463,0,0,0
45464,1,0,0
45465,0,0,0
45466,2,0,0
45467,12,0,0
45468,0,0,0
45469,72,13,2
45470,2,0,0
45471,0,0,0
45472,1,0,0
45473,1,0,0
45474,8,1,0
45475,2,0,0
45476,54,6,1
45477,9,3,0
45478,52,7,1
45479,53,7,1
45480,52,6,1
45481,55,7,2
45482,55,7,1
45483,52,7,1
45484,47,5,2
45485,53,6,1
45486,52,6,1
45487,16,2,2
45488,0,0,0
45489,0,0,0
45490,10,2,1
45491,4,1,0
45492,4,1,0
45493,5,0,0
45494,73,12,2
45495,14,5,2
45496,7,2,1
45497,5,0,0
45498,13,3,0
45499,5,0,0
45500,1,0,0
45501,0,0,0
45502,4,0,0
45503,5,0,0
45504,56,5,1
45505,75,11,2
45506,0,0,0
45507,1,0,0
45508,1,0,0
45509,10,0,0
45510,10,0,0
45511,10,0,0
45512,2,0,0
45513,3,0,0
45514,18,4,0
45515,57,10,4
45516,6,1,0
45517,56,10,3
45518,36,9,1
45519,70,13,2
45520,66,11,1
45521,10,0,0
45522,0,0,0
45523,1,0,0
45524,5,0,0
45525,73,16,5
45526,67,16,5
45527,8,0,0
45528,0,0,0
45529,8,0,0
45530,1,0,0
45531,8,1,1
45532,0,0,0
45533,56,12,3
45534,3,1,0
45535,1,0,0
45536,4,0,0
45537,55,6,4
45538,23,4,2
45539,59,12,4
45540,56,9,1
45541,1,1,0
45542,8,3,0
45543,1,0,0
45544,64,34,8
45545,33,7,0
45546,1,0,0
45547,74,13,7
45548,0,0,0
45549,2,0,0
45550,7,2,2
45551,67,11,3
45552,65,9,2
45553,5,0,0
45554,65,10,1
45555,3,0,0
45556,75,18,3
45557,2,0,0
45558,6,2,0
45559,1,0,0
45560,22,3,0
45561,2,0,0
45562,2,1,1
45563,30,2,0
45564,76,26,10
45565,2,0,0
45566,11,2,1
45567,63,10,5
45568,0,0,0
45569,0,0,0
45570,71,20,7
45571,1,0,0
45572,64,11,2
45573,62,10,3
45574,28,0,0
45575,68,26,5
45576,18,4,0
45577,0,0,0
45578,5,1,0
45579,54,2,0
45580,71,11,2
45581,28,0,0
45582,28,0,0
45583,1,0,0
45584,74,21,5
45585,1,0,0
45586,70,18,6
45587,33,3,1
45588,6,1,0
45589,49,5,1
45590,72,14,4
45591,5,2,0
45592,0,0,0
45593,12,1,0
45594,51,5,1
45595,1,0,0
45596,41,6,0
45597,1,0,0
45598,0,0,0
45599,14,3,0
45600,0,0,0
45601,59,14,2
45602,2,1,0
45603,1,0,0
45604,4,0,0
45605,9,3,0
45606,0,0,0
45607,9,1,0
45608,10,2,0
45609,0,0,0
45610,75,17,7
45611,8,1,0
45612,27,3,0
45613,11,2,0
45614,7,1,0
45615,16,5,3
45616,3,0,0
45617,74,9,2
45618,76,9,0
45619,13,1,0
45620,75,19,4
45621,7,2,0
45622,11,4,1
45623,1,1,0
45624,9,2,2
45625,69,11,0
45626,71,17,5
45627,17,2,2
45628,50,3,2
45629,72,14,4
45630,56,10,5
45631,38,4,0
45632,23,4,2
45633,10,1,0
45634,69,11,2
45635,7,1,0
45636,1,0,0
45637,68,26,5
45638,68,25,5
45639,0,0,0
45640,67,28,6
45641,0,0,0
45642,1,0,0
45643,68,26,5
45644,1,0,0
45645,65,10,2
45646,66,27,5
45647,71,19,5
45648,0,0,0
45649,1,0,0
45650,0,0,0
45651,1,0,0
45652,55,3,0
45653,64,8,0
45654,50,9,1
45655,41,2,0
45656,8,1,0
45657,36,0,0
45658,0,0,0
45659,8,1,1
45660,73,20,5
45661,65,15,5
45662,0,0,0
45663,0,0,0
45664,66,15,3
45665,0,0,0
45666,5,2,1
45667,6,1,0
45668,49,10,2
45669,56,12,3
45670,0,0,0
45671,4,2,0
45672,2,1,0
45673,1,0,0
45674,1,0,0
45675,1,0,0
45676,7,1,1
45677,7,1,1
45678,16,2,2
45679,1,0,0
45680,10,0,0
45681,65,12,6
45682,10,0,0
45683,6,0,0
45684,71,10,3
45685,59,4,0
45686,13,0,0
45687,70,13,1
45688,78,9,1
45689,2,0,0
45690,3,0,0
45691,0,0,0
45692,40,8,1
45693,55,9,3
45694,7,0,0
45695,2,0,0
45696,0,0,0
45697,50,5,1
45698,5,2,1
45699,3,1,0
45700,3,2,0
45701,66,12,4
45702,2,0,0
45703,3,2,0
45704,7,1,0
45705,2,0,0
45706,70,17,4
45707,8,1,0
45708,11,1,1
45709,30,3,0
45710,23,3,1
45711,62,14,4
45712,22,3,1
45713,24,4,1
45714,19,3,2
45715,21,3,1
45716,26,0,0
45717,22,3,1
45718,12,3,0
45719,5,2,1
45720,1,0,0
45721,22,2,1
45722,67,11,2
45723,28,2,1
45724,0,0,0
45725,10,1,1
45726,72,13,3
45727,21,5,1
45728,61,5,1
45729,0,0,0
45730,71,10,4
45731,14,1,1
45732,1,0,0
45733,35,0,0
45734,12,1,0
45735,1,0,0
45736,8,5,1
45737,69,10,1
45738,44,9,1
45739,1,0,0
45740,68,17,4
45741,66,12,3
45742,60,8,1
45743,2,0,0
45744,57,9,4
45745,71,22,5
45746,3,0,0
45747,67,9,2
45748,55,11,2
45749,68,18,4
45750,0,0,0
45751,0,0,0
45752,69,18,4
45753,51,7,4
45754,1,0,0
45755,71,19,3
45756,71,21,6
45757,0,0,0
45758,2,0,0
45759,51,3,2
45760,13,2,0
45761,30,4,0
45762,13,2,1
45763,5,2,1
45764,3,0,0
45765,68,14,4
45766,0,0,0
45767,6,2,0
45768,77,18,6
45769,47,3,1
45770,1,1,0
45771,48,9,2
45772,11,4,3
45773,11,4,1
45774,1,0,0
45775,67,16,5
45776,72,12,3
45777,48,10,2
45778,0,0,0
45779,69,12,4
45780,0,0,0
45781,67,16,5
45782,1,1,0
45783,5,0,0
45784,1,0,0
45785,34,7,0
45786,28,5,0
45787,33,7,0
45788,6,0,0
45789,37,7,2
45790,0,0,0
45791,39,7,1
45792,1,0,0
45793,44,9,4
45794,31,3,1
45795,1,0,0
45796,73,11,4
45797,34,0,0
45798,3,0,0
45799,13,1,1
45800,3,0,0
45801,5,1,1
45802,4,0,0
45803,62,3,1
45804,69,18,4
45805,1,0,0
45806,3,0,0
45807,5,1,1
45808,4,0,0
45809,65,7,1
45810,69,10,1
45811,65,8,1
45812,75,20,5
45813,65,11,2
45814,65,5,1
45815,70,13,2
45816,65,5,0
45817,3,0,0
45818,65,5,0
45819,11,2,2
45820,66,7,1
45821,66,9,1
45822,64,5,0
45823,21,2,0
45824,71,21,5
45825,65,4,0
45826,73,19,5
45827,62,2,1
45828,12,4,0
45829,11,2,0
45830,3,0,0
45831,65,5,0
45832,3,0,0
45833,62,2,1
45834,40,0,0
45835,65,7,1
45836,1,0,0
45837,1,0,0
45838,1,0,0
45839,7,1,0
45840,8,1,1
45841,1,0,0
45842,70,22,5
45843,24,3,1
45844,0,0,0
45845,0,0,0
45846,67,28,7
45847,67,27,5
45848,67,28,7
45849,67,26,5
45850,22,2,0
45851,57,3,1
45852,55,3,0
45853,67,28,5
45854,2,0,0
45855,75,20,5
45856,71,22,5
45857,1,0,0
45858,16,0,0
45859,73,18,6
45860,75,31,14
45861,76,32,11
45862,75,32,8
45863,58,4,2
45864,54,5,1
45865,69,10,0
45866,4,1,0
45867,70,12,2
45868,19,1,1
45869,69,10,0
45870,68,11,2
45871,66,14,2
45872,65,5,1
45873,75,22,9
45874,38,5,4
45875,74,19,4
45876,3,2,1
45877,3,0,0
45878,0,0,0
45879,3,0,0
45880,3,0,0
45881,60,15,3
45882,0,0,0
45883,59,6,0
45884,66,7,0
45885,65,9,0
45886,3,0,0
45887,9,3,0
45888,0,0,0
45889,1,0,0
45890,8,3,0
45891,10,2,2
45892,0,0,0
45893,20,4,0
45894,1,0,0
45895,74,12,0
45896,0,0,0
45897,1,1,0
45898,15,2,2
45899,56,6,0
45900,4,2,0
45901,0,0,0
45902,53,5,2
45903,9,4,1
45904,64,9,1
45905,47,3,1
45906,33,7,0
45907,48,9,2
45908,19,2,0
45909,34,7,0
45910,70,17,2
45911,48,4,1
45912,10,2,1
45913,11,5,3
45914,47,4,2
45915,74,22,6
45916,67,13,2
45917,57,13,3
45918,50,6,1
45919,24,4,2
45920,74,24,6
45921,1,0,0
45922,1,0,0
45923,68,13,2
45924,75,25,3
45925,74,25,3
45926,74,24,6
45927,48,6,2
45928,9,1,0
45929,73,12,4
45930,65,11,2
45931,9,2,0
45932,68,13,2
45933,5,0,0
45934,67,13,2
45935,68,29,9
45936,50,6,2
45937,66,10,2
45938,66,10,2
45939,7,0,0
45940,65,11,2
45941,73,22,7
45942,8,1,0
45943,1,0,0
45944,7,1,0
45945,0,0,0
45946,69,14,7
45947,11,6,1
45948,68,10,4
45949,5,1,0
45950,68,6,0
45951,71,14,3
45952,73,19,5
45953,74,23,6
45954,0,0,0
45955,70,19,4
45956,0,0,0
45957,0,0,0
45958,71,12,0
45959,11,2,0
45960,70,15,2
45961,6,2,0
45962,0,0,0
45963,22,1,0
45964,0,0,0
45965,5,2,2
45966,0,0,0
45967,1,0,0
45968,67,9,1
45969,69,30,14
45970,1,0,0
45971,0,0,0
45972,9,1,0
45973,5,1,1
45974,56,4,0
45975,0,0,0
45976,0,0,0
45977,0,0,0
45978,27,0,0
45979,0,0,0
45980,0,0,0
45981,1,0,0
45982,1,0,0
45983,53,11,4
45984,1,0,0
45985,1,0,0
45986,12,0,0
45987,1,0,0
45988,9,2,1
45989,68,25,5
45990,52,4,1
45991,72,12,2
45992,6,2,0
45993,13,3,0
45994,7,2,0
45995,67,12,1
45996,7,2,0
45997,65,12,3
45998,47,11,2
45999,0,0,0
46000,28,5,0
46001,1,0,0
46002,2,0,0
46003,0,0,0
46004,1,0,0
46005,71,19,3
46006,2,0,0
46007,4,1,0
46008,68,12,1
46009,68,14,2
46010,67,8,4
46011,69,10,1
46012,1,0,0
46013,7,2,2
46014,11,1,0
46015,47,8,1
46016,65,15,3
46017,70,7,1
46018,0,0,0
46019,73,9,4
46020,2,0,0
46021,3,0,0
46022,75,8,1
46023,68,11,2
46024,70,15,3
46025,23,2,0
46026,5,2,2
46027,0,0,0
46028,0,0,0
46029,5,0,0
46030,5,3,0
46031,24,7,2
46032,12,0,0
46033,18,1,1
46034,1,0,0
46035,6,2,2
46036,1,0,0
46037,4,1,0
46038,0,0,0
46039,0,0,0
46040,5,0,0
46041,10,2,1
46042,69,12,1
46043,68,14,3
46044,12,0,0
46045,14,2,0
46046,0,0,0
46047,1,0,0
46048,1,0,0
46049,0,0,0
46050,46,0,0
46051,69,13,4
46052,66,8,0
46053,73,10,2
46054,25,5,0
46055,60,34,7
46056,57,6,0
46057,60,11,0
46058,0,0,0
46059,19,2,1
46060,42,3,1
46061,5,0,0
46062,2,0,0
46063,60,5,1
46064,37,8,2
46065,4,0,0
46066,0,0,0
46067,1,0,0
46068,5,1,0
46069,11,4,3
46070,12,1,0
46071,4,0,0
46072,9,4,1
46073,65,7,0
46074,9,2,0
46075,51,3,2
46076,51,4,1
46077,44,5,1
46078,57,3,0
46079,72,20,4
46080,6,2,0
46081,16,3,0
46082,59,4,1
46083,16,3,0
46084,0,0,0
46085,55,6,2
46086,15,3,0
46087,11,4,0
46088,1,0,0
46089,22,2,0
46090,11,4,1
46091,3,0,0
46092,70,12,1
46093,3,1,0
46094,75,15,5
46095,34,8,1
46096,68,10,0
46097,60,11,3
46098,1,0,0
46099,1,0,0
46100,0,0,0
46101,0,0,0
46102,32,3,1
46103,1,0,0
46104,3,0,0
46105,3,0,0
46106,8,1,1
46107,62,37,9
46108,29,5,0
46109,3,0,0
46110,4,0,0
46111,79,12,3
46112,30,5,1
46113,0,0,0
46114,0,0,0
46115,62,4,0
46116,16,2,2
46117,10,3,2
46118,55,11,4
46119,71,24,3
46120,61,5,0
46121,69,11,0
46122,73,23,3
46123,71,23,2
46124,72,23,4
46125,6,2,2
46126,72,8,2
46127,75,16,4
46128,67,27,3
46129,67,28,5
46130,70,16,4
46131,51,8,3
46132,1,0,0
46133,29,3,2
46134,1,0,0
46135,16,4,0
46136,10,3,0
46137,1,0,0
46138,38,8,2
46139,2,0,0
46140,28,4,1
46141,9,4,0
46142,1,1,0
46143,0,0,0
46144,5,0,0
46145,5,1,0
46146,13,3,1
46147,3,0,0
46148,56,11,3
46149,42,5,0
46150,0,0,0
46151,2,0,0
46152,2,0,0
46153,1,0,0
46154,8,0,0
46155,1,0,0
46156,73,24,4
46157,31,1,0
46158,9,1,0
46159,74,7,0
46160,0,0,0
